"TOA5","35279","CR800","35279","CR800.Std.27.04","CPU:AWI_V2.1_Anja.CR8","15615","OperatorView"
"TIMESTAMP","RECORD","Counter","DepthCm","BattVolts","latitude_a","latitude_b","Longitude_a","Longitude_b","fix_quality","nmbr_satellites","HDOP","altitudeB","DepthVolts","LatitudeDDDDD","LongitudeDDDDD","month","dayofmonth","hourofday","minutes","seconds","microseconds"
"2020-01-16 11:26:23.28",15057,101279,14.48,12.94,87,33.5236,101,36.1561,1,10,0.8,-2.3,0.98,0.5587267,0.6026017,1,16,11,26,22,600000
"2020-01-16 11:26:25.4",15058,101280,10.22,12.95,87,33.5231,101,36.1513,1,10,0.8,-2.4,0.70,0.5587184,0.6025216,1,16,11,26,24,720000
"2020-01-16 11:26:28.38",15059,101281,9.43,12.94,87,33.5225,101,36.1502,1,10,0.8,-2.2,0.65,0.5587083,0.6025034,1,16,11,26,27,700000
"2020-01-16 11:26:35.64",15060,101282,120,12.94,87,33.5221,101,36.1158,1,10,0.8,-2.4,7.882,0.5587016,0.60193,1,16,11,26,34,960000
"2020-01-16 11:26:36.62",15061,101283,119.9,12.94,87,33.5221,101,36.1046,1,10,0.8,-2.5,7.878,0.5587016,0.6017434,1,16,11,26,35,940000
"2020-01-16 11:26:37.55",15062,101284,119.9,12.94,87,33.5223,101,36.095,1,10,0.8,-2.5,7.878,0.558705,0.6015834,1,16,11,26,36,870000
"2020-01-16 11:55:43.01",15063,101285,53.86,12.73,87,33.8811,101,24.8797,1,12,0.7,5.4,3.558,0.564685,0.4146617,1,16,11,55,42,330000
"2020-01-16 11:56:08.8",15064,101286,15.94,12.73,87,33.8822,101,24.8399,1,12,0.7,6.5,1.079,0.5647033,0.4139983,1,16,11,56,8,120000
"2020-01-16 11:56:11.69",15065,101287,30.69,12.73,87,33.8826,101,24.8453,1,12,0.7,6.4,2.043,0.56471,0.4140883,1,16,11,56,11,10000
"2020-01-16 11:56:14.15",15066,101288,39.89,12.73,87,33.8831,101,24.8602,1,11,0.8,7,2.645,0.5647183,0.4143367,1,16,11,56,13,470000
"2020-01-16 11:56:16.55",15067,101289,27.16,12.73,87,33.8833,101,24.8661,1,11,0.8,7.1,1.812,0.5647217,0.414435,1,16,11,56,15,870000
"2020-01-16 11:56:19.45",15068,101290,31.42,12.73,87,33.8839,101,24.8788,1,11,0.8,6.8,2.091,0.5647316,0.4146466,1,16,11,56,18,770000
"2020-01-16 11:56:22.26",15069,101291,20.99,12.73,87,33.8844,101,24.8904,1,11,0.8,6.6,1.409,0.56474,0.41484,1,16,11,56,21,580000
"2020-01-16 11:56:25.01",15070,101292,28.5,12.73,87,33.885,101,24.8966,1,10,0.8,7.4,1.9,0.56475,0.4149433,1,16,11,56,24,330000
"2020-01-16 11:56:27.81",15071,101293,28.17,12.73,87,33.8851,101,24.902,1,11,0.8,7.3,1.878,0.5647517,0.4150334,1,16,11,56,27,130000
"2020-01-16 11:56:30.31",15072,101294,34.56,12.73,87,33.8856,101,24.933,1,11,0.8,7.2,2.296,0.56476,0.41555,1,16,11,56,29,630000
"2020-01-16 11:56:32.82",15073,101295,34.06,12.73,87,33.8858,101,24.9358,1,11,0.8,6.8,2.263,0.5647633,0.4155967,1,16,11,56,32,140000
"2020-01-16 11:56:35.2",15074,101296,21.94,12.73,87,33.8864,101,24.9514,1,11,0.8,6.9,1.471,0.5647733,0.4158567,1,16,11,56,34,520000
"2020-01-16 11:56:37.79",15075,101297,15.94,12.73,87,33.8866,101,24.9583,1,11,0.8,6.7,1.079,0.5647766,0.4159717,1,16,11,56,37,110000
"2020-01-16 11:56:40.07",15076,101298,18.8,12.73,87,33.8871,101,24.9695,1,11,0.8,6.6,1.266,0.564785,0.4161583,1,16,11,56,39,390000
"2020-01-16 11:56:42.41",15077,101299,23.01,12.73,87,33.8874,101,24.9863,1,11,0.8,6.7,1.541,0.56479,0.4164383,1,16,11,56,41,730000
"2020-01-16 11:56:44.64",15078,101300,24.02,12.73,87,33.8877,101,24.9952,1,11,0.8,6.9,1.607,0.564795,0.4165867,1,16,11,56,43,960000
"2020-01-16 11:56:46.8",15079,101301,22.9,12.72,87,33.8879,101,25.0019,1,11,0.8,7,1.533,0.5647984,0.4166983,1,16,11,56,46,120000
"2020-01-16 11:56:48.95",15080,101302,28.73,12.73,87,33.8882,101,25.0176,1,11,0.8,6.3,1.915,0.5648033,0.41696,1,16,11,56,48,270000
"2020-01-16 11:56:51.53",15081,101303,34.11,12.73,87,33.8884,101,25.0254,1,11,0.8,6.1,2.267,0.5648067,0.41709,1,16,11,56,50,850000
"2020-01-16 11:56:53.77",15082,101304,29.18,12.73,87,33.8882,101,25.0408,1,11,0.8,6,1.944,0.5648033,0.4173466,1,16,11,56,53,90000
"2020-01-16 11:56:58.12",15083,101305,29.63,12.71,87,33.8888,101,25.0537,1,10,0.8,5.4,1.974,0.5648134,0.4175616,1,16,11,56,57,440000
"2020-01-16 11:57:00.6",15084,101306,27.5,12.73,87,33.889,101,25.0553,1,11,0.8,6.1,1.834,0.5648166,0.4175883,1,16,11,56,59,920000
"2020-01-16 11:57:02.8",15085,101307,30.3,12.73,87,33.8894,101,25.059,1,11,0.8,6.2,2.018,0.5648233,0.41765,1,16,11,57,2,120000
"2020-01-16 11:57:04.97",15086,101308,28.06,12.71,87,33.8899,101,25.0684,1,11,0.8,6.2,1.871,0.5648317,0.4178066,1,16,11,57,4,290000
"2020-01-16 11:57:07.35",15087,101309,29.51,12.73,87,33.8901,101,25.0751,1,11,0.8,6,1.966,0.564835,0.4179183,1,16,11,57,6,670000
"2020-01-16 11:57:09.82",15088,101310,23.06,12.72,87,33.8904,101,25.0824,1,11,0.8,6.1,1.544,0.56484,0.41804,1,16,11,57,9,140000
"2020-01-16 11:57:12.21",15089,101311,18.63,12.72,87,33.8904,101,25.1088,1,11,0.8,5.8,1.255,0.56484,0.41848,1,16,11,57,11,530000
"2020-01-16 11:57:14.36",15090,101312,21.1,12.72,87,33.8907,101,25.1143,1,11,0.8,5.7,1.416,0.564845,0.4185716,1,16,11,57,13,680000
"2020-01-16 11:57:16.83",15091,101313,31.87,12.73,87,33.8911,101,25.1195,1,11,0.8,5.5,2.12,0.5648517,0.4186583,1,16,11,57,16,150000
"2020-01-16 11:57:19.93",15092,101314,24.13,12.72,87,33.8918,101,25.1335,1,11,0.8,6.4,1.614,0.5648633,0.4188916,1,16,11,57,19,250000
"2020-01-16 11:57:22.55",15093,101315,20.09,12.73,87,33.8921,101,25.1318,1,11,0.8,6.2,1.35,0.5648683,0.4188633,1,16,11,57,21,870000
"2020-01-16 11:57:24.75",15094,101316,29.68,12.73,87,33.8924,101,25.1412,1,11,0.8,6.3,1.977,0.5648733,0.41902,1,16,11,57,24,70000
"2020-01-16 11:57:28.35",15095,101317,39.05,12.71,87,33.8928,101,25.1564,1,11,0.8,6,2.59,0.56488,0.4192734,1,16,11,57,27,670000
"2020-01-16 11:57:31.27",15096,101318,20.65,12.71,87,33.8926,101,25.1755,1,10,0.8,7,1.387,0.5648767,0.4195917,1,16,11,57,30,590000
"2020-01-16 11:57:33.89",15097,101319,20.2,12.72,87,33.893,101,25.1817,1,11,0.8,6.7,1.357,0.5648834,0.419695,1,16,11,57,33,210000
"2020-01-16 11:57:37.33",15098,101320,36.69,12.71,87,33.8934,101,25.1873,1,11,0.8,6.6,2.436,0.56489,0.4197883,1,16,11,57,36,650000
"2020-01-16 11:57:40.13",15099,101321,34.23,12.71,87,33.8939,101,25.2083,1,11,0.8,6.7,2.274,0.5648984,0.4201383,1,16,11,57,39,450000
"2020-01-16 11:57:42.58",15100,101322,32.94,12.71,87,33.8941,101,25.2114,1,11,0.8,6.3,2.19,0.5649016,0.42019,1,16,11,57,41,900000
"2020-01-16 11:57:44.89",15101,101323,31.98,12.71,87,33.8944,101,25.2202,1,11,0.8,6.3,2.128,0.5649067,0.4203367,1,16,11,57,44,210000
"2020-01-16 11:57:47.12",15102,101324,39.5,12.72,87,33.8947,101,25.2289,1,11,0.8,6.5,2.619,0.5649117,0.4204817,1,16,11,57,46,440000
"2020-01-16 11:57:49.6",15103,101325,24.24,12.72,87,33.8948,101,25.2341,1,11,0.8,6.5,1.621,0.5649133,0.4205684,1,16,11,57,48,920000
"2020-01-16 11:57:54.35",15104,101326,21.89,12.72,87,33.8954,101,25.2473,1,11,0.8,6.4,1.467,0.5649234,0.4207883,1,16,11,57,53,670000
"2020-01-16 11:57:59.43",15105,101327,12.58,12.71,87,33.8958,101,25.2493,1,11,0.8,6.5,0.86,0.56493,0.4208217,1,16,11,57,58,750000
"2020-01-16 11:58:01.94",15106,101328,16.89,12.71,87,33.8961,101,25.2515,1,11,0.8,6.1,1.141,0.564935,0.4208583,1,16,11,58,1,260000
"2020-01-16 11:58:04.24",15107,101329,24.02,12.71,87,33.8962,101,25.2573,1,11,0.8,6.2,1.607,0.5649366,0.420955,1,16,11,58,3,560000
"2020-01-16 11:58:07.15",15108,101330,37.03,12.71,87,33.8965,101,25.2659,1,11,0.8,6.4,2.458,0.5649416,0.4210983,1,16,11,58,6,470000
"2020-01-16 11:58:09.48",15109,101331,36.69,12.71,87,33.8972,101,25.2683,1,10,0.8,6.9,2.436,0.5649534,0.4211383,1,16,11,58,8,800000
"2020-01-16 11:58:12.71",15110,101332,23.46,12.72,87,33.897,101,25.2925,1,10,0.8,7.1,1.57,0.56495,0.4215417,1,16,11,58,12,30000
"2020-01-16 11:58:16.63",15111,101333,19.81,12.71,87,33.8975,101,25.2924,1,10,0.8,7,1.332,0.5649583,0.42154,1,16,11,58,15,950000
"2020-01-16 11:58:22.67",15112,101334,20.65,12.71,87,33.8979,101,25.3005,1,10,0.8,7,1.387,0.564965,0.421675,1,16,11,58,21,990000
"2020-01-16 11:58:27.29",15113,101335,26.49,12.71,87,33.8983,101,25.2966,1,10,0.8,7.6,1.768,0.5649717,0.42161,1,16,11,58,26,610000
"2020-01-16 11:58:31.94",15114,101336,39.72,12.71,87,33.8979,101,25.3147,1,10,0.8,6.5,2.634,0.564965,0.4219116,1,16,11,58,31,260000
"2020-01-16 11:58:36.33",15115,101337,35.8,12.71,87,33.8985,101,25.3032,1,10,0.8,6,2.377,0.564975,0.42172,1,16,11,58,35,650000
"2020-01-16 11:58:41.26",15116,101338,19.42,12.71,87,33.8993,101,25.3022,1,10,0.8,4.3,1.306,0.5649883,0.4217033,1,16,11,58,40,580000
"2020-01-16 11:58:43.98",15117,101339,19.81,12.71,87,33.8997,101,25.3122,1,10,0.8,4.8,1.332,0.564995,0.42187,1,16,11,58,43,300000
"2020-01-16 11:58:47.58",15118,101340,32.77,12.71,87,33.8995,101,25.334,1,10,0.8,4.9,2.179,0.5649917,0.4222333,1,16,11,58,46,900000
"2020-01-16 11:58:50.58",15119,101341,42.7,12.71,87,33.8999,101,25.3324,1,10,0.8,5.1,2.828,0.5649983,0.4222067,1,16,11,58,49,900000
"2020-01-16 11:58:53.21",15120,101342,45.39,12.71,87,33.9005,101,25.3482,1,10,0.8,4.8,3.004,0.5650084,0.42247,1,16,11,58,52,530000
"2020-01-16 11:58:55.59",15121,101343,41.74,12.7,87,33.9009,101,25.351,1,10,0.8,5.4,2.766,0.565015,0.4225167,1,16,11,58,54,910000
"2020-01-16 11:58:58.32",15122,101344,44.83,12.71,87,33.9017,101,25.3602,1,10,0.8,6.2,2.968,0.5650283,0.42267,1,16,11,58,57,640000
"2020-01-16 11:59:00.9",15123,101345,45.44,12.71,87,33.9017,101,25.3831,1,10,0.8,6.9,3.008,0.5650283,0.4230517,1,16,11,59,0,220000
"2020-01-16 11:59:03.46",15124,101346,34.56,12.71,87,33.9019,101,25.3872,1,10,0.8,6.9,2.296,0.5650317,0.42312,1,16,11,59,2,780000
"2020-01-16 11:59:06.28",15125,101347,39.84,12.71,87,33.9019,101,25.4069,1,10,0.8,6.8,2.641,0.5650317,0.4234484,1,16,11,59,5,600000
"2020-01-16 11:59:09.05",15126,101348,37.93,12.71,87,33.9026,101,25.4057,1,10,0.8,6.7,2.517,0.5650433,0.4234284,1,16,11,59,8,370000
"2020-01-16 11:59:11.84",15127,101349,32.88,12.71,87,33.9027,101,25.4113,1,10,0.8,6.4,2.186,0.565045,0.4235217,1,16,11,59,11,160000
"2020-01-16 11:59:15.86",15128,101350,31.98,12.71,87,33.9032,101,25.4062,1,10,0.8,6.2,2.128,0.5650533,0.4234367,1,16,11,59,15,180000
"2020-01-16 11:59:19.24",15129,101351,25.7,12.71,87,33.9039,101,25.4229,1,10,0.8,7.8,1.717,0.565065,0.423715,1,16,11,59,18,560000
"2020-01-16 11:59:24.71",15130,101352,16.84,12.71,87,33.9041,101,25.4331,1,10,0.8,8.3,1.137,0.5650683,0.423885,1,16,11,59,24,30000
"2020-01-16 11:59:27.62",15131,101353,19.08,12.71,87,33.9038,101,25.4474,1,10,0.8,7.8,1.284,0.5650634,0.4241233,1,16,11,59,26,940000
"2020-01-16 11:59:30",15132,101354,20.54,12.7,87,33.9042,101,25.4452,1,10,0.8,8.5,1.379,0.56507,0.4240867,1,16,11,59,29,320000
"2020-01-16 11:59:32.38",15133,101355,41.07,12.71,87,33.9045,101,25.4532,1,10,0.8,8.5,2.722,0.565075,0.42422,1,16,11,59,31,700000
"2020-01-16 11:59:34.71",15134,101356,41.97,12.71,87,33.9049,101,25.464,1,10,0.8,8.8,2.781,0.5650816,0.4244,1,16,11,59,34,30000
"2020-01-16 11:59:39.25",15135,101357,54.87,12.7,87,33.9058,101,25.4748,1,10,0.8,7,3.624,0.5650967,0.42458,1,16,11,59,38,570000
"2020-01-16 11:59:42.33",15136,101358,44.44,12.71,87,33.9064,101,25.475,1,10,0.8,7.7,2.942,0.5651066,0.4245834,1,16,11,59,41,650000
"2020-01-16 11:59:45.38",15137,101359,54.53,12.71,87,33.9069,101,25.4838,1,10,0.8,7.4,3.602,0.565115,0.42473,1,16,11,59,44,700000
"2020-01-16 11:59:48.26",15138,101360,59.8,12.7,87,33.9073,101,25.5015,1,10,0.8,5.2,3.947,0.5651216,0.425025,1,16,11,59,47,580000
"2020-01-16 11:59:50.83",15139,101361,58.35,12.7,87,33.907,101,25.5343,1,10,0.8,5.9,3.852,0.5651167,0.4255716,1,16,11,59,50,150000
"2020-01-16 11:59:53.55",15140,101362,63.73,12.7,87,33.9075,101,25.5382,1,10,0.8,6,4.204,0.565125,0.4256367,1,16,11,59,52,870000
"2020-01-16 11:59:56.42",15141,101363,74.72,12.7,87,33.9081,101,25.5391,1,10,0.8,6.1,4.923,0.565135,0.4256517,1,16,11,59,55,740000
"2020-01-16 11:59:59.85",15142,101364,77.64,12.7,87,33.9078,101,25.5537,1,10,0.8,5.9,5.114,0.56513,0.425895,1,16,11,59,59,170000
"2020-01-16 12:00:03.88",15143,101365,52.91,12.7,87,33.9085,101,25.563,1,10,0.8,5.7,3.496,0.5651417,0.42605,1,16,12,0,3,190000
"2020-01-16 12:00:08.32",15144,101366,43.43,12.7,87,33.909,101,25.5772,1,10,0.8,5.6,2.876,0.56515,0.4262867,1,16,12,0,7.000,640000
"2020-01-16 12:00:11.06",15145,101367,46.01,12.71,87,33.9089,101,25.5756,1,10,0.8,5.7,3.045,0.5651484,0.42626,1,16,12,0,10,380000
"2020-01-16 12:00:13.36",15146,101368,42.75,12.7,87,33.9092,101,25.5813,1,10,0.8,6.5,2.832,0.5651533,0.426355,1,16,12,0,12,680000
"2020-01-16 12:00:16.87",15147,101369,37.48,12.7,87,33.9097,101,25.5871,1,10,0.8,6.9,2.487,0.5651616,0.4264516,1,16,12,0,16,190000
"2020-01-16 12:00:22.21",15148,101370,28.39,12.7,87,33.9093,101,25.6004,1,10,0.8,7.2,1.893,0.565155,0.4266734,1,16,12,0,21,530000
"2020-01-16 12:00:24.77",15149,101371,26.49,12.7,87,33.9097,101,25.595,1,10,0.8,9.2,1.768,0.5651616,0.4265833,1,16,12,0,24,90000
"2020-01-16 12:00:28.01",15150,101372,23.01,12.71,87,33.9105,101,25.5982,1,10,0.8,8.3,1.541,0.565175,0.4266367,1,16,12,0,27,330000
"2020-01-16 12:00:33.3",15151,101373,34.34,12.7,87,33.9109,101,25.5916,1,10,0.8,8.2,2.282,0.5651817,0.4265267,1,16,12,0,32,620000
"2020-01-16 12:00:36.53",15152,101374,43.76,12.7,87,33.911,101,25.6032,1,10,0.8,8.6,2.898,0.5651834,0.42672,1,16,12,0,35,850000
"2020-01-16 12:00:39.39",15153,101375,39.61,12.7,87,33.9116,101,25.6206,1,10,0.8,9,2.627,0.5651933,0.42701,1,16,12,0,38,710000
"2020-01-16 12:00:41.94",15154,101376,39.89,12.7,87,33.9116,101,25.6414,1,10,0.8,9.6,2.645,0.5651933,0.4273567,1,16,12,0,41,260000
"2020-01-16 12:00:44.74",15155,101377,42.25,12.69,87,33.9118,101,25.6443,1,10,0.8,8.8,2.799,0.5651967,0.427405,1,16,12,0,44,60000
"2020-01-16 12:00:47.39",15156,101378,42.75,12.69,87,33.9121,101,25.6595,1,10,0.8,8.8,2.832,0.5652017,0.4276584,1,16,12,0,46,710000
"2020-01-16 12:00:50.13",15157,101379,39.61,12.7,87,33.9126,101,25.6721,1,10,0.8,9.9,2.627,0.56521,0.4278683,1,16,12,0,49,450000
"2020-01-16 12:00:53.41",15158,101380,35.35,12.69,87,33.913,101,25.6771,1,10,0.8,10.7,2.348,0.5652167,0.4279517,1,16,12,0,52,730000
"2020-01-16 12:00:55.98",15159,101381,36.58,12.7,87,33.9135,101,25.6776,1,10,0.8,10.9,2.429,0.565225,0.42796,1,16,12,0,55,300000
"2020-01-16 12:00:58.52",15160,101382,35.12,12.69,87,33.9136,101,25.6793,1,10,0.8,11.3,2.333,0.5652267,0.4279884,1,16,12,0,57,840000
"2020-01-16 12:01:01.06",15161,101383,37.59,12.69,87,33.9133,101,25.7044,1,10,0.8,10.5,2.495,0.5652217,0.4284066,1,16,12,1,0,380000
"2020-01-16 12:01:03.63",15162,101384,25.92,12.69,87,33.9134,101,25.7119,1,10,0.8,9.7,1.732,0.5652233,0.4285317,1,16,12,1,2,950000
"2020-01-16 12:01:06.65",15163,101385,24.92,12.69,87,33.9134,101,25.7255,1,10,0.8,10.3,1.665,0.5652233,0.4287583,1,16,12,1,5,970000
"2020-01-16 12:01:09.35",15164,101386,20.71,12.69,87,33.9139,101,25.7278,1,10,0.8,10.5,1.39,0.5652316,0.4287967,1,16,12,1,8,670000
"2020-01-16 12:01:12.07",15165,101387,18.07,12.7,87,33.9143,101,25.7312,1,10,0.8,11,1.218,0.5652383,0.4288533,1,16,12,1,11,390000
"2020-01-16 12:01:14.71",15166,101388,25.14,12.69,87,33.9144,101,25.7343,1,10,0.8,10.7,1.68,0.56524,0.428905,1,16,12,1,14,30000
"2020-01-16 12:01:17.34",15167,101389,34.68,12.69,87,33.9146,101,25.746,1,10,0.8,10.8,2.304,0.5652434,0.4291,1,16,12,1,16,660000
"2020-01-16 12:01:19.79",15168,101390,38.04,12.7,87,33.9148,101,25.7492,1,10,0.8,12.5,2.524,0.5652466,0.4291534,1,16,12,1,19,110000
"2020-01-16 12:01:22.46",15169,101391,28.28,12.69,87,33.9151,101,25.7573,1,10,0.8,11.9,1.886,0.5652516,0.4292883,1,16,12,1,21,780000
"2020-01-16 12:01:25.29",15170,101392,14.48,12.7,87,33.9155,101,25.7678,1,10,0.8,11.4,0.98,0.5652583,0.4294633,1,16,12,1,24,610000
"2020-01-16 12:01:28.16",15171,101393,20.76,12.69,87,33.9159,101,25.7726,1,10,0.8,11.8,1.394,0.565265,0.4295434,1,16,12,1,27,480000
"2020-01-16 12:01:30.74",15172,101394,28.28,12.69,87,33.9162,101,25.7745,1,10,0.8,11.8,1.886,0.56527,0.429575,1,16,12,1,30,60000
"2020-01-16 12:01:33.76",15173,101395,29.01,12.7,87,33.9165,101,25.7911,1,10,0.8,12,1.933,0.565275,0.4298516,1,16,12,1,33,80000
"2020-01-16 12:01:36.35",15174,101396,38.94,12.69,87,33.9168,101,25.8013,1,10,0.8,11.7,2.583,0.56528,0.4300217,1,16,12,1,35,670000
"2020-01-16 12:01:39",15175,101397,32.32,12.69,87,33.917,101,25.815,1,10,0.8,12.9,2.15,0.5652834,0.43025,1,16,12,1,38,320000
"2020-01-16 12:01:41.92",15176,101398,20.65,12.69,87,33.9172,101,25.822,1,10,0.8,13.1,1.387,0.5652866,0.4303667,1,16,12,1,41,240000
"2020-01-16 12:01:44.79",15177,101399,14.99,12.7,87,33.9168,101,25.835,1,10,0.8,13,1.016,0.56528,0.4305833,1,16,12,1,44,110000
"2020-01-16 12:01:48.19",15178,101400,22.67,12.69,87,33.9173,101,25.8487,1,10,0.8,12.4,1.519,0.5652884,0.4308117,1,16,12,1,47,510000
"2020-01-16 12:01:53.47",15179,101401,19.19,12.7,87,33.9178,101,25.8391,1,10,0.8,11.6,1.291,0.5652967,0.4306517,1,16,12,1,52,790000
"2020-01-16 12:01:55.64",15180,101402,26.15,12.69,87,33.9181,101,25.8358,1,10,0.8,11.9,1.746,0.5653016,0.4305967,1,16,12,1,54,960000
"2020-01-16 12:01:59.64",15181,101403,27.5,12.69,87,33.919,101,25.8309,1,10,0.8,12.4,1.834,0.5653166,0.430515,1,16,12,1,58,960000
"2020-01-16 12:02:01.95",15182,101404,25.2,12.69,87,33.9194,101,25.8414,1,10,0.8,12.5,1.684,0.5653233,0.43069,1,16,12,2,1,270000
"2020-01-16 12:02:03.97",15183,101405,24.69,12.69,87,33.9196,101,25.8416,1,10,0.8,11.9,1.651,0.5653267,0.4306933,1,16,12,2,3,290000
"2020-01-16 12:02:06.05",15184,101406,22.84,12.69,87,33.92,101,25.8415,1,10,0.8,11.9,1.53,0.5653333,0.4306916,1,16,12,2,5,370000
"2020-01-16 12:02:08.02",15185,101407,24.24,12.69,87,33.921,101,25.8405,1,10,0.8,11.4,1.621,0.56535,0.430675,1,16,12,2,7.000,340000
"2020-01-16 12:02:10.07",15186,101408,15.44,12.69,87,33.9216,101,25.8348,1,10,0.8,9.4,1.046,0.56536,0.43058,1,16,12,2,9,390000
"2020-01-16 12:02:12.53",15187,101409,9.66,12.69,87,33.9224,101,25.8276,1,10,0.8,9.2,0.67,0.5653734,0.43046,1,16,12,2,11,850000
"2020-01-16 12:02:14.71",15188,101410,8.09,12.69,87,33.9231,101,25.8239,1,10,0.8,9.6,0.57,0.565385,0.4303984,1,16,12,2,14,30000
"2020-01-16 12:02:16.59",15189,101411,8.59,12.69,87,33.9237,101,25.8214,1,10,0.8,9.4,0.60,0.565395,0.4303566,1,16,12,2,15,910000
"2020-01-16 12:02:18.55",15190,101412,11.79,12.69,87,33.9239,101,25.827,1,10,0.8,9.5,0.81,0.5653983,0.43045,1,16,12,2,17,870000
"2020-01-16 12:02:20.71",15191,101413,11.51,12.69,87,33.9246,101,25.8227,1,10,0.8,9.3,0.79,0.56541,0.4303784,1,16,12,2,20,30000
"2020-01-16 12:02:22.79",15192,101414,16.56,12.69,87,33.9251,101,25.8234,1,10,0.8,9.7,1.119,0.5654183,0.43039,1,16,12,2,22,110000
"2020-01-16 12:02:24.79",15193,101415,11.57,12.68,87,33.9257,101,25.8141,1,10,0.8,9.6,0.79,0.5654284,0.430235,1,16,12,2,24,110000
"2020-01-16 12:02:26.85",15194,101416,10.05,12.69,87,33.9265,101,25.8132,1,10,0.8,8.7,0.69,0.5654417,0.43022,1,16,12,2,26,160000
"2020-01-16 12:02:29.9",15195,101417,10.28,12.69,87,33.9278,101,25.8125,1,10,0.8,8.4,0.71,0.5654633,0.4302083,1,16,12,2,29,220000
"2020-01-16 12:02:31.93",15196,101418,13.02,12.69,87,33.9285,101,25.8078,1,10,0.8,8.1,0.89,0.565475,0.43013,1,16,12,2,31,250000
"2020-01-16 12:02:33.69",15197,101419,17.96,12.69,87,33.9288,101,25.8073,1,10,0.8,7.8,1.211,0.56548,0.4301217,1,16,12,2,33,10000
"2020-01-16 12:02:35.53",15198,101420,10.89,12.69,87,33.93,101,25.7947,1,10,0.8,7.5,0.75,0.5655,0.4299117,1,16,12,2,34,850000
"2020-01-16 12:02:37.37",15199,101421,12.01,12.69,87,33.9306,101,25.8009,1,10,0.8,5.6,0.82,0.56551,0.430015,1,16,12,2,36,690000
"2020-01-16 12:02:39.24",15200,101422,12.13,12.68,87,33.9316,101,25.7932,1,10,0.8,5.1,0.83,0.5655267,0.4298867,1,16,12,2,38,560000
"2020-01-16 12:02:41.03",15201,101423,12.69,12.68,87,33.9322,101,25.7974,1,10,0.8,1,0.87,0.5655367,0.4299566,1,16,12,2,40,350000
"2020-01-16 12:02:42.9",15202,101424,13.47,12.69,87,33.9323,101,25.8007,1,10,0.8,0.5,0.92,0.5655384,0.4300116,1,16,12,2,42,220000
"2020-01-16 12:02:44.81",15203,101425,17.96,12.68,87,33.9326,101,25.8019,1,10,0.8,-1.5,1.211,0.5655433,0.4300317,1,16,12,2,44,130000
"2020-01-16 12:02:46.73",15204,101426,20.2,12.69,87,33.9332,101,25.797,1,10,0.8,-3.7,1.357,0.5655534,0.42995,1,16,12,2,46,50000
"2020-01-16 12:02:48.82",15205,101427,16.17,12.69,87,33.9342,101,25.7889,1,10,0.8,-4.3,1.093,0.56557,0.429815,1,16,12,2,48,140000
"2020-01-16 12:02:50.89",15206,101428,14.2,12.69,87,33.9346,101,25.7954,1,10,0.8,-5.4,0.97,0.5655767,0.4299234,1,16,12,2,50,210000
"2020-01-16 12:02:52.91",15207,101429,16.05,12.69,87,33.9359,101,25.7869,1,10,0.8,-8,1.086,0.5655984,0.4297816,1,16,12,2,52,230000
"2020-01-16 12:02:58.64",15208,101430,16.45,12.69,87,33.9368,101,25.7845,1,10,0.8,-9.8,1.112,0.5656133,0.4297417,1,16,12,2,57,960000
"2020-01-16 12:03:00.61",15209,101431,20.2,12.68,87,33.9367,101,25.7864,1,10,0.8,-10.1,1.357,0.5656117,0.4297733,1,16,12,2,59,930000
"2020-01-16 12:03:02.85",15210,101432,18.75,12.69,87,33.9371,101,25.7903,1,10,0.8,-10.5,1.262,0.5656183,0.4298383,1,16,12,3,2,170000
"2020-01-16 12:03:04.93",15211,101433,19.7,12.69,87,33.9377,101,25.7943,1,10,0.8,-10.9,1.324,0.5656283,0.429905,1,16,12,3,4,250000
"2020-01-16 12:03:07.06",15212,101434,19.08,12.68,87,33.9383,101,25.7955,1,10,0.8,-11.1,1.284,0.5656384,0.429925,1,16,12,3,6,380000
"2020-01-16 12:03:09.1",15213,101435,18.86,12.68,87,33.9387,101,25.7956,1,10,0.8,-9.7,1.269,0.565645,0.4299267,1,16,12,3,8,420000
"2020-01-16 12:03:11.08",15214,101436,17.34,12.68,87,33.9393,101,25.7965,1,10,0.8,-10,1.17,0.565655,0.4299416,1,16,12,3,10,400000
"2020-01-16 12:03:13.09",15215,101437,22.34,12.68,87,33.9396,101,25.8049,1,10,0.8,-10.1,1.497,0.56566,0.4300817,1,16,12,3,12,410000
"2020-01-16 12:03:15.03",15216,101438,19.42,12.68,87,33.9402,101,25.8044,1,10,0.8,-10.2,1.306,0.56567,0.4300733,1,16,12,3,14,350000
"2020-01-16 12:03:17.14",15217,101439,19.19,12.68,87,33.9408,101,25.8048,1,10,0.8,-10.2,1.291,0.56568,0.43008,1,16,12,3,16,460000
"2020-01-16 12:03:19.31",15218,101440,20.09,12.68,87,33.9412,101,25.8057,1,10,0.8,-10.1,1.35,0.5656866,0.430095,1,16,12,3,18,630000
"2020-01-16 12:03:21.34",15219,101441,20.54,12.68,87,33.9417,101,25.806,1,10,0.8,-9.7,1.379,0.565695,0.4301,1,16,12,3,20,660000
"2020-01-16 12:03:23.43",15220,101442,17.62,12.68,87,33.9424,101,25.8029,1,10,0.8,-9.6,1.189,0.5657067,0.4300484,1,16,12,3,22,750000
